Suburb
Abbotsbury
Abbotsford
Abercrombie
Aberdare
Aberdeen
Aberfoyle
Aberglasslyn
Abermain
Abernethy
Acacia Gardens
Adaminaby
Adamstown
Adamstown Heights
Adelong
Agnes Banks
Airds
Akolele
Albion Park
Albion Park Rail
Albury
Aldavilla
Alexandria
Alfords Point
Alison
Allambie Heights
Allandale
Allawah
Allgomera
Allworth
Allynbrook
Alstonvale
Alstonville
Alumy Creek
Ambarvale
Angledale
Anglers Reach
Angourie
Anna Bay
Annandale
Annangrove
Appin
Apsley
Arakoon
Araluen
Arcadia
Arcadia Vale
Arding
Ardlethan
Argenton
Argents Hill
Ariah Park
Armatree
Armidale
Arncliffe
Arndell Park
Arrawarra
Arrawarra Headland
Artarmon
Ashbury
Ashby
Ashby Heights
Ashcroft
Ashfield
Ashford
Ashley
Ashmont
Ashtonfield
Asquith
Attunga
Auburn
Austinmer
Austral
Avalon
Avoca Beach
Awaba
Aylmerton
Baan Baa
Backmede
Badgerys Creek
Balaclava
Balala
Balcolyn
Bald Hills
Balgowlah
Balgowlah Heights
Balgownie
Balladoran
Ballimore
Ballina
Balmain
Balmain East
Balmoral
Balmoral
Balranald
Bandon Grove
Bangalee
Bangalow
Bangheet
Bangor
Banksia
Banksmeadow
Bankstown
Bankstown Aerodrome
Bannaby
Bannister
Banora Point
Bar Beach
Bar Point
Baradine
Barangaroo
Barcoongere
Barden Ridge
Bardwell Park
Bardwell Valley
Barellan
Bargo
Barham
Barkers Vale
Barmedman
Barnsley
Barooga
Barraba
Barrack Heights
Barrack Point
Barrengarry
Barrington
Barry
Basin View
Bass Hill
Bateau Bay
Batehaven
Batemans Bay
Bathurst
Batlow
Baulkham Hills
Baw Baw
Bawley Point
Bayview
Beacon Hill
Beaconsfield
Beaumont
Beaumont Hills
Beckom
Bedgerebong
Beechwood
Beecroft
Beecroft Peninsula
Beelbangera
Bega
Belbora
Belfield
Belgravia
Belimbla Park
Bella Vista
Bellambi
Bellangry
Bellata
Bellawongarah
Bellbird
Bellbird Heights
Bellbrook
Bellevue Hill
Bellingen
Belmont
Belmont North
Belmont South
Belmore
Belmore River
Belrose
Bemboka
Ben Lomond
Bendalong
Bendemeer
Bendick Murrell
Bendolba
Benerembah
