o,code,railway_line,date_opened,lon,lat
Turrella,TLL,East Hills,21/09/1931,151.1399518,-33.9298449
Villawood,VWD,Main South,8/10/1924,150.9769349,-33.8808286
Vineyard,VYR,Richmond,14/07/1935,150.8510742,-33.6504454
Wahroonga,WHG,North Shore,1/1/1890,151.1172069,-33.7177411
Waitara,WTA,North Shore,20/4/1895,151.1046851,-33.7102024
Warrawee,WWE,North Shore,1/08/1900,151.1216881,-33.7242023
Warwick Farm,WKF,Main South,18/3/1889,150.9350012,-33.9131522
Waterfall,WFL,Illawarra,9/3/1886,150.9945046,-34.1345533
Waverton,WVT,North Shore,1/5/1893,151.1973732,-33.8376726
Wentworthville,WVL,Main Western,1/1/1883,150.9725436,-33.8070993
Werrington,WRT,Main Western,2/5/1868,150.7576481,-33.7591687
West Ryde,WSR,Main Northern,17/9/1886,151.0901785,-33.8073346
Westmead,WMD,Main Western,1/3/1883,150.9878994,-33.8084371
Wiley Park,WLP,Bankstown,19/06/1938,151.0673791,-33.9228156
Windsor,WSR,Richmond,1/12/1864,150.8111434,-33.6138625
Wolli Creek,WCI,Airport,21/05/2000,151.1540101,-33.9285672
Wollstonecraft,WSC,North Shore,1/5/1893,151.1918642,-33.8319314
Woolooware,WOE,Cronulla,16/12/1939,151.1437473,-34.0475593
Wynyard,Wyn,City Circle,28/02/1932,151.2061878,-33.8657423
Yagoona,YOA,Bankstown,16/07/1928,151.0242827,-33.9069245
Yennora,YNR,Old Main South,6/11/1927,150.9711707,-33.864633
